DATE,AAPL,IBM,TSLA,RM
1990/3/22,-0.021021,-0.006993,,-0.011921
1990/3/23,0.03681,-0.014085,,0.004558
1990/3/26,0,-0.008333,,0.001216
1990/3/27,-0.005917,0.003601,,0.011462
1990/3/28,-0.017857,0.013158,,0.001464
1990/3/29,-0.00303,0.001181,,-0.003538
1990/3/30,-0.021277,0.001179,,-0.002494
1990/3/5,0.022222,0.001192,,-0.005364
1990/3/6,0.021739,0.007143,,0.012555
1990/3/7,0.003546,-0.002364,,-0.0029
1990/3/8,0.038869,0.014218,,0.009853
1990/3/9,0.003401,-0.004673,,-0.006877
1990/4/10,0.00304,0.003555,,0.002051
1990/4/11,0.030303,0.004723,,-0.000439
1990/4/12,0.017647,0.007051,,0.007078
1990/4/16,0.011561,0.035006,,0.001162
1990/4/17,-0.011429,0.002255,,-0.000174
1990/4/18,0,-0.011249,,-0.011489
1990/4/19,-0.069364,-0.006826,,-0.007719
1990/4/2,0,-0.002356,,-0.003648
1990/4/20,0,0.002291,,-0.008785
1990/4/23,-0.012422,0,,-0.012145
1990/4/24,-0.025157,-0.004571,,-0.002084
1990/4/25,0,0.004592,,0.005055
1990/4/26,0.003226,-0.005714,,0.00268
1990/4/27,0.006431,-0.012644,,-0.011444
1990/4/3,0.037267,0.007084,,0.014585
1990/4/30,0.00639,0.015134,,0.005135
1990/4/4,-0.011976,-0.001172,,-0.007421
1990/4/5,-0.024242,-0.003521,,-0.001055
1990/4/6,-0.009317,-0.002356,,-0.001908
1990/4/9,0.031348,-0.003542,,0.003793
1990/5/1,0.006349,-0.009174,,0.004383
1990/5/10,-0.01194,0.010112,,0.0028
1990/5/11,0.030211,0.014461,,0.023792
1990/5/14,-0.020528,0.002193,,0.007813
1990/5/15,0,0.012035,,-0.001325
1990/5/16,-0.005988,-0.002162,,-0.00079
1990/5/17,0,0.006501,,0.001328
1990/5/18,-0.042169,-0.006459,,0.00048
1990/5/2,0.003155,0.010417,,0.006712
1990/5/21,-0.003522,0.014085,,0.009474
1990/5/22,0.047468,0.00641,,0.001201
1990/5/23,0.015106,0.008493,,0.002399
1990/5/24,0,0,,-0.002449
1990/5/25,-0.047619,-0.021053,,-0.010686
1990/5/29,0.025,0.030108,,0.017119
1990/5/3,0.006289,0.001145,,0.003259
